PROJECT_DEV,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004006,BRACKET SEAT,2200,300,PC,3240000,972000000,300,,3240000,972000000,0,0,,3240000,0,300,20.09.2024,31.01.2025,133,Complete
M3-23001,M3-23001.9000000314,1200000274,11/20/2023,POIMST/1123/00033,140002,FGB671F11002,RUBBER FRAME JENDELA,20,300,ROL,5910000,1773000000,300,,5910000,1773000000,0,300,,5910000,1773000000,0,16.11.2023,31.12.2023,45,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD70RM7012,Kawat Las,30,300,PC,7770000,2331000000,300,,7770000,2331000000,0,300,,7770000,2331000000,0,29.12.2023,31.01.2024,33,Complete
M3-24001,M3-24001.9000000339,1200000337,10/9/2024,POIMST/0124/00044,140002,FGB671F11002,RUBBER FRAME JENDELA,10,300,ROL,5910000,1773000000,300,,5910000,1773000000,0,300,,5910000,1773000000,0,26.01.2024,08.12.2024,317,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB43KS1015,NUT_HEX_WELD_DIN929,120,280,PC,634760,177732800,280,,634760,177732800,0,0,,634760,0,280,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB43KS1510,NUT_HEX_WELD_SPIGOT,190,280,PC,552160,154604800,280,,552160,154604800,0,0,,552160,0,280,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB46NG0040,BLIND_RIVET_TRUSS HEAD,10,240,PC,110640,26553600,240,,110640,26553600,0,0,,110640,0,240,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB44KD0020,WASHER_PLAIN,340,240,PC,913200,219168000,240,,913200,219168000,0,0,,913200,0,240,06.06.2024,12.07.2024,36,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGC95LF0809,Palu darurat,710,228,PC,17239080,3930510240,219,,17239080,3775358520,9,219,,17239080,3775358520,0,04.09.2023,30.04.2026,969,On Progress
M5-23003,M5-23003.7100001299,1200000255,9/7/2023,7100001299,140011,FGB22D08GG00252HAW,SEALANT SIkaflex 252 FC 600 ml (White),20,210,PC,30450000,6394500000,210,,30450000,6394500000,0,0,,30450000,0,210,01.09.2023,23.11.2023,83,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGC79VA0003,STOP BLOCK,630,583,PC,330292820,1.93E+11,202,,330292820,66719149640,381,202,,330292820,66719149640,0,04.09.2023,30.04.2026,969,On Progress
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000005,STIFFENER,80,200,PC,5160000,1032000000,200,,5160000,1032000000,0,0,,5160000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000012,END PLATE,220,200,PC,24920000,4984000000,200,,24920000,4984000000,0,0,,24920000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000018,HANGER BRACKET SEAT,340,200,PC,26940000,5388000000,200,,26940000,5388000000,0,0,,26940000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000021,STIFFENER,410,200,PC,127620000,25524000000,200,,127620000,25524000000,0,0,,127620000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000022,BASE PLATE,420,200,PC,1600000,320000000,200,,1600000,320000000,0,0,,1600000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000024,STIFFENER,460,200,PC,3560000,712000000,200,,3560000,712000000,0,0,,3560000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000025,STIFFENER,480,200,PC,4940000,988000000,200,,4940000,988000000,0,0,,4940000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000026,STIFFENER,500,200,PC,12540000,2508000000,200,,12540000,2508000000,0,0,,12540000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB032M25000003,SIDE PLATE,620,200,PC,52580000,10516000000,200,,52580000,10516000000,0,0,,52580000,0,200,20.09.2024,31.01.2025,133,Complete
0,0,1200000332,10/5/2024,4500011797,140000,FGB032M25000005,STIFFENER,660,200,0,,,200,,,,0,0,,,,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB033M250000011,PLATE,700,200,PC,7600000,1520000000,200,,7600000,1520000000,0,0,,7600000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGBTB1014038005001,STIFFENER 01,1080,200,PC,13780000,2756000000,200,,13780000,2756000000,0,0,,13780000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGBTB1014038015001,STIFFENER 01,1200,200,PC,13780000,2756000000,200,,13780000,2756000000,0,0,,13780000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25011010,STIFFENER,1740,200,PC,11040000,2208000000,200,,11040000,2208000000,0,0,,11040000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25011024,STIFFENER,2040,200,PC,6780000,1356000000,200,,6780000,1356000000,0,0,,6780000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004004,STIFFENER,2160,200,PC,16920000,3384000000,200,,16920000,3384000000,0,0,,16920000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004009,BOLSTER SPRING SEAT,2240,200,PC,23180000,4636000000,200,,23180000,4636000000,0,0,,23180000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004010,SPRING GUIDE,2260,200,PC,7500000,1500000000,200,,7500000,1500000000,0,0,,7500000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004013,SPRING GUIDE,2320,200,PC,7140000,1428000000,200,,7140000,1428000000,0,0,,7140000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004014,SPRING GUIDE,2340,200,PC,41940000,8388000000,200,,41940000,8388000000,0,0,,41940000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004017,STIFFENER,2420,200,PC,15860000,3172000000,200,,15860000,3172000000,0,0,,15860000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004021,STOPPER,2500,200,PC,8120000,1624000000,200,,8120000,1624000000,0,0,,8120000,0,200,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M250040221,SAFETY WIRE BRACKET,2520,200,PC,7300000,1460000000,200,,7300000,1460000000,0,0,,7300000,0,200,20.09.2024,31.01.2025,133,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BN0201,Train Marking and Accesories,1070,199,SET,710032000,1.41E+11,199,,710032000,1.41E+11,0,199,,710032000,1.41E+11,0,04.09.2023,30.04.2026,969,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1101P02,Ceiling panel K3,1580,399,SET,27480680910,1.10E+13,193,,27480680910,5.30E+12,206,185,,27480680910,5.08E+12,8,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG0702P01,Large Fix Window,1440,342,SET,2497002192,8.54E+11,192,,2497002192,4.79E+11,150,192,,2497002192,4.79E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BC0102,Luggage Rack,390,398,SET,26932954520,1.07E+13,184,,26932954520,4.96E+12,214,176,,26932954520,4.74E+12,8,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BN0008,"Train Marking (Name plate,panel marking)",1060,297,SET,1059696000,3.15E+11,182,,1059696000,1.93E+11,115,182,,1059696000,1.93E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1101P06,Endwall K3,1590,398,SET,3701133738,1.47E+12,182,,3701133738,6.74E+11,216,182,,3701133738,6.74E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1101P01,Side wall K3,1570,398,SET,15175453440,6.04E+12,171,,15175453440,2.60E+12,227,171,,15175453440,2.60E+12,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0101P01,Floor Sub-Structure,120,199,SET,14145343070,2.81E+12,165,,14145343070,2.33E+12,34,165,,14145343070,2.33E+12,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EG1225,BOLT_HEX_FLANGE_SERRATED,60,160,PC,1396160,223385600,160,,1396160,223385600,0,0,,1396160,0,160,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EG0602,SETSCREW_HEX HEAD_AS1111-1980 (FULL THRE,260,160,PC,155520,24883200,160,,155520,24883200,0,0,,155520,0,160,06.06.2024,12.07.2024,36,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0101P01,Floor Sub-Structure,110,297,SET,21111391420,6.27E+12,152,,21111391420,3.21E+12,145,148,,21111391420,3.12E+12,4,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1101P01,Side wall K1,1540,594,SET,22648792320,1.35E+13,152,,22648792320,3.44E+12,442,152,,22648792320,3.44E+12,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB52TH0001P01,AC 20.000 Kcal/h,760,398,SET,1.10E+11,4.37E+13,146,,1.10E+11,1.60E+13,252,138,,1.10E+11,1.52E+13,8,04.09.2023,30.04.2026,969,On Progress
0,0,1200000287,1/22/2024,4500010091,140000,FGC95LF0809,Palu darurat,690,320,0,,,137,,,,183,137,,,,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB84QA00041,PEMADAM API CF-21 KAP 3KG,590,199,PC,326923170,65057710830,135,,326923170,44134627950,64,135,,326923170,44134627950,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB84QA00041,PEMADAM API CF-21 KAP 3KG,580,297,PC,487920510,1.45E+11,130,,487920510,63429666300,167,130,,487920510,63429666300,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1101P06,Endwall K1,1560,594,SET,5523802614,3.28E+12,128,,5523802614,7.07E+11,466,128,,5523802614,7.07E+11,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0083,ABS 083 Jeruk Abu,10,126,PC,18900000,2381400000,126,,18900000,2381400000,0,0,,18900000,0,126,12.10.2023,31.10.2023,19,Complete
