Project Definition,WBS Element,Sales Document,Sales Document Item,Order,Material,Order Quantity,Cumul.confirmed qty Required deliv. qty
M1-22041,M1-22041.4300003938,1100000459,330,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,340,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,350,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,360,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,370,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,380,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,390,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,400,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,410,,SERVICE_IMS_CAR,12,CAR
M1-22041,M1-22041.4300003938,1100000459,420,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,430,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,440,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,450,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,460,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,470,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,480,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,490,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,500,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300003938,1100000459,510,,SERVICE_IMS_CAR,12,CAR
M1-22041,M1-22041.4300003938,1100000459,520,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,530,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,540,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,10,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,20,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,30,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,40,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,50,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,60,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,70,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,80,,SERVICE_IMS_CAR,75,CAR
M1-22041,M1-22041.4300004283,1100000607,90,,SERVICE_IMS_CAR,12,CAR
M1-22041,M1-22041.4300004283,1100000607,100,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004283,1100000607,110,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004283,1100000607,120,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004283.1,1100000607,130,,SERVICE_IMS_CAR,54,CAR
M1-22041,M1-22041.4300004283.1,1100000607,140,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,150,,SERVICE_IMS_CAR,5,CAR
M1-22041,M1-22041.4300004283.1,1100000607,160,,SERVICE_IMS_CAR,1,CAR
M1-22041,M1-22041.4300004283.1,1100000607,170,,SERVICE_IMS_CAR,26,CAR
M1-22041,M1-22041.4300004283.1,1100000607,180,,SERVICE_IMS_CAR,26,CAR
M1-22041,M1-22041.4300004283.1,1100000607,190,,SERVICE_IMS_CAR,7,CAR
M1-22041,M1-22041.4300004283.1,1100000607,200,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,210,,SERVICE_IMS_CAR,2,CAR
M1-22041,M1-22041.4300004283.1,1100000607,220,,SERVICE_IMS_CAR,21,CAR
M1-22041,M1-22041.4300004283.1,1100000607,230,,SERVICE_IMS_CAR,39,CAR
M1-22041,M1-22041.4300004283.1,1100000607,240,,SERVICE_IMS_CAR,7,CAR
M1-22041,M1-22041.4300004283.1,1100000607,250,,SERVICE_IMS_CAR,7,CAR
M1-22041,M1-22041.4300004283.1,1100000607,260,,SERVICE_IMS_CAR,21,CAR
M1-22041,M1-22041.4300004283.1,1100000607,270,,SERVICE_IMS_CAR,39,CAR
M1-22041,M1-22041.4300004283.1,1100000607,280,,SERVICE_IMS_CAR,7,CAR
M1-22041,M1-22041.4300004283.1,1100000607,290,,SERVICE_IMS_CAR,7,CAR
M1-22041,M1-22041.4300004283.1,1100000607,300,,SERVICE_IMS_CAR,44,CAR
M1-22041,M1-22041.4300004283.1,1100000607,310,,SERVICE_IMS_CAR,10,CAR
M1-22041,M1-22041.4300004283.1,1100000607,320,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,330,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,340,,SERVICE_IMS_CAR,39,CAR
M1-22041,M1-22041.4300004283.1,1100000607,350,,SERVICE_IMS_CAR,15,CAR
M1-22041,M1-22041.4300004283.1,1100000607,360,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,370,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,380,,SERVICE_IMS_CAR,34,CAR
M1-22041,M1-22041.4300004283.1,1100000607,390,,SERVICE_IMS_CAR,20,CAR
M1-22041,M1-22041.4300004283.1,1100000607,400,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,410,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,420,,SERVICE_IMS_CAR,1,CAR
M1-22041,M1-22041.4300004283.1,1100000607,430,,SERVICE_IMS_CAR,29,CAR
M1-22041,M1-22041.4300004283.1,1100000607,440,,SERVICE_IMS_CAR,25,CAR
M1-22041,M1-22041.4300004283.1,1100000607,450,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,460,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,470,,SERVICE_IMS_CAR,29,CAR
M1-22041,M1-22041.4300004283.1,1100000607,480,,SERVICE_IMS_CAR,25,CAR
M1-22041,M1-22041.4300004283.1,1100000607,490,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,500,,SERVICE_IMS_CAR,6,CAR
M1-22041,M1-22041.4300004283.1,1100000607,510,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004283.1,1100000607,520,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004283.1,1100000607,530,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004466,1100000632,10,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004466,1100000632,20,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4500010091,1200000287,10,,FGB50AG1002P01,5346,SET
M1-22041,M1-22041.4500010091,1200000287,20,,FGB50AG1002P02,1188,SET
M1-22041,M1-22041.4500010091,1200000287,30,,FGB50AG1002P03,1188,SET
M1-22041,M1-22041.4500010091,1200000287,40,,FGB50AG1002P01,3582,SET
M1-22041,M1-22041.4500010091,1200000287,50,,FGB50AG1002P02,796,SET
M1-22041,M1-22041.4500010091,1200000287,60,,FGB50AG1002P03,796,SET
M1-22041,M1-22041.4500010091,1200000287,70,,FGB50AG1002P02,4,SET
M1-22041,M1-22041.4500010091,1200000287,80,,FGB50AG1002P03,4,SET
M1-22041,M1-22041.4500010091,1200000287,90,,FGB50AG1002P03,110,SET
M1-22041,M1-22041.4500010091,1200000287,100,,FGB50AG1002P03,8,SET
M1-22041,M1-22041.4500010091,1200000287,110,,FGB50JA0101P01,297,SET
M1-22041,M1-22041.4500010091,1200000287,120,,FGB50JA0101P01,199,SET
M1-22041,M1-22041.4500010091,1200000287,130,,FGB50JA0101P03,55,SET
M1-22041,M1-22041.4500010091,1200000287,140,,FGB50JA0101P04,2,SET
M1-22041,M1-22041.4500010091,1200000287,150,,FGB50CA1104,594,SET
M1-22041,M1-22041.4500010091,1200000287,160,,FGB50AK0102,297,SET
M1-22041,M1-22041.4500010091,1200000287,170,,FGB50AK0102,199,SET
M1-22041,M1-22041.4500010091,1200000287,180,,FGB50AK0302,57,SET
M1-22041,M1-22041.4500010091,1200000287,190,,FGB50AK0402,55,SET
M1-22041,M1-22041.4500010091,1200000287,200,,FGB50AK0502,2,SET
M1-22041,M1-22041.4500010091,1200000287,210,,FGB50JA0110,297,SET
M1-22041,M1-22041.4500010091,1200000287,220,,FGB50JA0110,199,SET
M1-22041,M1-22041.4500010091,1200000287,230,,FGB50JA0110,57,SET
M1-22041,M1-22041.4500010091,1200000287,240,,FGB50JA0201,55,SET
M1-22041,M1-22041.4500010091,1200000287,250,,FGB50JA0201,2,SET
M1-22041,M1-22041.4500010091,1200000287,260,,FGB50JA0201,2,SET
M1-22041,M1-22041.4500010091,1200000287,270,,FGB50AF1047P01,297,SET
M1-22041,M1-22041.4500010091,1200000287,280,,FGB50AF1047P11,297,SET
M1-22041,M1-22041.4500010091,1200000287,290,,FGB50BA00031,7164,SET
M1-22041,M1-22041.4500010091,1200000287,300,,FGB762A17005,297,PC
M1-22041,M1-22041.4500010091,1200000287,310,,FGB762A17005,199,PC
M1-22041,M1-22041.4500010091,1200000287,320,,FGB50BA4103,55,SET
M1-22041,M1-22041.4500010091,1200000287,330,,FGB50BB0004,55,PC
M1-22041,M1-22041.4500010091,1200000287,340,,FGB50BA5003,4,SET
M1-22041,M1-22041.4500010091,1200000287,350,,FGB50BA5103,2,SET
M1-22041,M1-22041.4500010091,1200000287,360,,FGB50BB0005,2,SET
M1-22041,M1-22041.4500010091,1200000287,370,,FGB50BB0006,2,SET
M1-22041,M1-22041.4500010091,1200000287,380,,FGB50BC0102,594,SET
M1-22041,M1-22041.4500010091,1200000287,390,,FGB50BC0102,398,SET
M1-22041,M1-22041.4500010091,1200000287,400,,FGB50BC0202,110,SET
M1-22041,M1-22041.4500010091,1200000287,410,,FGB50BC0203,4,SET
M1-22041,M1-22041.4500010091,1200000287,420,,FGB50BC0204,4,SET
M1-22041,M1-22041.4500010091,1200000287,430,,FGB50CA1102,297,SET
M1-22041,M1-22041.4500010091,1200000287,440,,FGB50CA1103,297,SET
M1-22041,M1-22041.4500010091,1200000287,450,,FGB50CA1202,199,SET
M1-22041,M1-22041.4500010091,1200000287,460,,FGB50CA1203,199,SET
M1-22041,M1-22041.4500010091,1200000287,470,,FGB40AE1701P01,297,SET
M1-22041,M1-22041.4500010091,1200000287,480,,FGB40AE1701P02,297,SET
M1-22041,M1-22041.4500010091,1200000287,490,,FGB40AE1701P03,297,SET
M1-22041,M1-22041.4500010091,1200000287,500,,FGB40AE1701P01,199,SET
M1-22041,M1-22041.4500010091,1200000287,510,,FGB40AE1701P02,199,SET
M1-22041,M1-22041.4500010091,1200000287,520,,FGB40AE1701P03,199,SET
M1-22041,M1-22041.4500010091,1200000287,530,,FGB463A170021,262,SET
M1-22041,M1-22041.4500010091,1200000287,540,,FGB463A170021,199,SET
M1-22041,M1-22041.4500010091,1200000287,550,,FGB50EB2802,297,SET
M1-22041,M1-22041.4500010091,1200000287,560,,FGB50EB2802,199,SET
M1-22041,M1-22041.4500010091,1200000287,570,,FGB50EB2802,57,SET
M1-22041,M1-22041.4500010091,1200000287,580,,FGB84QA00041,297,PC
M1-22041,M1-22041.4500010091,1200000287,590,,FGB84QA00041,199,PC
M1-22041,M1-22041.4500010091,1200000287,600,,FGB84QA00041,57,PC
M1-22041,M1-22041.4500010091,1200000287,610,,FGB84QA00041,55,PC
M1-22041,M1-22041.4500010091,1200000287,620,,FGB84QA00041,6,PC
M1-22041,M1-22041.4500010091,1200000287,630,,FGC79VA0003,583,PC
M1-22041,M1-22041.4500010091,1200000287,640,,FGC79VA0003,796,PC
M1-22041,M1-22041.4500010091,1200000287,650,,FGC79VA0003,228,PC
M1-22041,M1-22041.4500010091,1200000287,660,,FGC79VA0003,220,PC
M1-22041,M1-22041.4500010091,1200000287,670,,FGC79VA0003,8,PC
M1-22041,M1-22041.4500010091,1200000287,680,,FGC79VA0003,8,PC
M1-22041,M1-22041.4500010091,1200000287,690,,FGC95LF0809,320,PC
M1-22041,M1-22041.4500010091,1200000287,700,,FGC95LF0809,796,PC
M1-22041,M1-22041.4500010091,1200000287,710,,FGC95LF0809,228,PC
M1-22041,M1-22041.4500010091,1200000287,720,,FGC95LF0809,8,PC
M1-22041,M1-22041.4500010091,1200000287,730,,FGD8406TB101,55,PC
M1-22041,M1-22041.4500010091,1200000287,740,,FGD8406TB101,4,PC
M1-22041,M1-22041.4500010091,1200000287,750,,FGB52TH0001P01,594,SET
M1-22041,M1-22041.4500010091,1200000287,760,,FGB52TH0001P01,398,SET
M1-22041,M1-22041.4500010091,1200000287,770,,FGB52TH0001P01,114,SET
M1-22041,M1-22041.4500010091,1200000287,780,,FGB52TH0001P01,2,SET
M1-22041,M1-22041.4500010091,1200000287,790,,FGB50AC0108,57,SET
M1-22041,M1-22041.4500010091,1200000287,800,,FGB50AC0110,55,SET
M1-22041,M1-22041.4500010091,1200000287,810,,FGB50AC0111,55,SET
M1-22041,M1-22041.4500010091,1200000287,820,,FGB50AC0112,110,SET
M1-22041,M1-22041.4500010091,1200000287,830,,FGB50AC0113,55,SET
M1-22041,M1-22041.4500010091,1200000287,840,,FGB50AC0114,55,SET
M1-22041,M1-22041.4500010091,1200000287,850,,FGB50AC0115,220,SET
M1-22041,M1-22041.4500010091,1200000287,860,,FGB50AC0118,2,SET
M1-22041,M1-22041.4500010091,1200000287,870,,FGB50AC0121,4,SET
M1-22041,M1-22041.4500010091,1200000287,880,,FGB50AC0122,2,SET
M1-22041,M1-22041.4500010091,1200000287,890,,FGB50AC0123,2,SET
M1-22041,M1-22041.4500010091,1200000287,900,,FGB50AC0124,8,SET
M1-22041,M1-22041.4500010091,1200000287,910,,FGB50AC0126,4,SET
M1-22041,M1-22041.4500010091,1200000287,920,,FGB50AC0127,4,SET
M1-22041,M1-22041.4500010091,1200000287,930,,FGB50AC0128,4,SET
M1-22041,M1-22041.4500010091,1200000287,940,,FGB47FA0016,297,SET
M1-22041,M1-22041.4500010091,1200000287,950,,FGB47FA0016,199,SET
M1-22041,M1-22041.4500010091,1200000287,960,,FGB47FA0016,57,SET
M1-22041,M1-22041.4500010091,1200000287,970,,FGB47FA0016,55,SET
M1-22041,M1-22041.4500010091,1200000287,980,,FGB47FA0016,2,SET
M1-22041,M1-22041.4500010091,1200000287,990,,FGB47FA0016,2,SET
M1-22041,M1-22041.4500010091,1200000287,1000,,FGA52YP0305,297,SET
M1-22041,M1-22041.4500010091,1200000287,1010,,FGA52YP0305,199,SET
M1-22041,M1-22041.4500010091,1200000287,1020,,FGA52YP0307,57,SET
M1-22041,M1-22041.4500010091,1200000287,1030,,FGA52YP0309,55,SET
M1-22041,M1-22041.4500010091,1200000287,1040,,FGA52YP0311,2,SET
M1-22041,M1-22041.4500010091,1200000287,1050,,FGB50BC0207,4,SET
M1-22041,M1-22041.4500010091,1200000287,1060,,FGB50BN0008,297,SET
M1-22041,M1-22041.4500010091,1200000287,1070,,FGB50BN0201,199,SET
M1-22041,M1-22041.4500010091,1200000287,1080,,FGB50BN0003,57,SET
M1-22041,M1-22041.4500010091,1200000287,1090,,FGB50BN0401,55,SET
M1-22041,M1-22041.4500010091,1200000287,1100,,FGB50BN0005,2,SET
M1-22041,M1-22041.4500010091,1200000287,1110,,FGB50BN0601,2,SET
M1-22041,M1-22041.4500010091,1200000287,1120,,FGB50AG1002P03,57,SET
M1-22041,M1-22041.4500010091,1200000287,1130,,FGB50JA0101P01,57,SET
M1-22041,M1-22041.4500010091,1200000287,1140,,FGB50CA1104,398,SET
M1-22041,M1-22041.4500010091,1200000287,1150,,FGB762A17005,12,PC
M1-22041,M1-22041.4500010091,1200000287,1160,,FGB463A170021,57,SET
M1-22041,M1-22041.4500010091,1200000287,1170,,FGB50AC0117,55,SET
M1-22041,M1-22041.4500010091,1200000287,1180,,FGB50AC0117,4,SET
M1-22041,M1-22041.4500010091,1200000287,1190,,FGB50AC0119,2,SET
M1-22041,M1-22041.4500010091,1200000287,1200,,FGB50AC1112,440,SET
M1-22041,M1-22041.4500010091,1200000287,1210,,FGB50AC1112,8,SET
M1-22041,M1-22041.4500010091,1200000287,1220,,FGB50AC1113,330,SET
M1-22041,M1-22041.4500010091,1200000287,1230,,FGB50AC1115,8,SET
M1-22041,M1-22041.4500010091,1200000287,1240,,FGB50BC0205,12,SET
M1-22041,M1-22041.4500010091,1200000287,1250,,FGB50BC0206,8,SET
M1-22041,M1-22041.4500010091,1200000287,1260,,FGB50AB1401P01,110,SET
M1-22041,M1-22041.4500010091,1200000287,1270,,FGB50AB1401P02,55,SET
M1-22041,M1-22041.4500010091,1200000287,1280,,FGB50AB1501P02,2,SET
M1-22041,M1-22041.4500010091,1200000287,1290,,FGB50AB1601P01,4,SET
M1-22041,M1-22041.4500010091,1200000287,1300,,FGB50DI2008P01,297,SET
M1-22041,M1-22041.4500010091,1200000287,1310,,FGB50DI2008P01,199,SET
M1-22041,M1-22041.4500010091,1200000287,1320,,FGB50DI2008P02,297,SET
M1-22041,M1-22041.4500010091,1200000287,1330,,FGB50DI2008P02,199,SET
M1-22041,M1-22041.4500010091,1200000287,1340,,FGB50DI2008P03,297,SET
M1-22041,M1-22041.4500010091,1200000287,1350,,FGB50DI2008P03,199,SET
M1-22041,M1-22041.4500010091,1200000287,1360,,FGB50DI2010P01,55,SET
M1-22041,M1-22041.4500010091,1200000287,1370,,FGB50DI2010P01,2,SET
M1-22041,M1-22041.4500010091,1200000287,1380,,FGB50DI2010P02,55,SET
M1-22041,M1-22041.4500010091,1200000287,1390,,FGB50DI2011P01,2,SET
M1-22041,M1-22041.4500010091,1200000287,1400,,FGB50DI2012P01,2,SET
M1-22041,M1-22041.4500010091,1200000287,1410,,FGB50DI2012P04,4,SET
M1-22041,M1-22041.4500010091,1200000287,1420,,FGB50BA4003,55,SET
M1-22041,M1-22041.4500010091,1200000287,1430,,FGB84QA00041,4,PC
M1-22041,M1-22041.4500010091,1200000287,1440,,FGB50AG0702P01,342,SET
M1-22041,M1-22041.4500010091,1200000287,1450,,FGB50AG0702P02,228,SET
M1-22041,M1-22041.4500010091,1200000287,1460,,FGB50AG0702P03,171,SET
M1-22041,M1-22041.4500010091,1200000287,1470,,FGB50AK602P01,8,SET
M1-22041,M1-22041.4500010091,1200000287,1480,,FGB50AK602P02,4,SET
M1-22041,M1-22041.4500010091,1200000287,1490,,FGB50AB1401P06,110,SET
M1-22041,M1-22041.4500010091,1200000287,1500,,FGB50AB1501P01,4,SET
M1-22041,M1-22041.4500010091,1200000287,1510,,FGB50AB1501P06,4,SET
M1-22041,M1-22041.4500010091,1200000287,1520,,FGB50AB1401P02,55,SET
M1-22041,M1-22041.4500010091,1200000287,1530,,FGB50AB1501P02,2,SET
M1-22041,M1-22041.4500010091,1200000287,1540,,FGB50AB1101P01,594,SET
M1-22041,M1-22041.4500010091,1200000287,1550,,FGB50AB1101P02,594,SET
M1-22041,M1-22041.4500010091,1200000287,1560,,FGB50AB1101P06,594,SET
M1-22041,M1-22041.4500010091,1200000287,1570,,FGB50AB1101P01,398,SET
M1-22041,M1-22041.4500010091,1200000287,1580,,FGB50AB1101P02,398,SET
M1-22041,M1-22041.4500010091,1200000287,1590,,FGB50AB1101P06,398,SET
M1-22041,M1-22041.4500010091,1200000287,1600,,FGB52TH0002P01,110,SET
M1-22041,M1-22041.4500010091,1200000287,1610,,FGB52TH0002P01,4,SET
M1-22041,M1-22041.4500010091,1200000287,1620,,FGB50AF1147P01,199,SET
M1-22041,M1-22041.4500010091,1200000287,1630,,FGB50AF1147P02,199,SET
M1-22041,M1-22041.4500010091,1200000287,1640,,FGA52YP0314,2,SET
M1-22041,M1-22041.4300004447,1100000635,10,,SERVICE_IMS_CAR,11,CAR
M1-22041,M1-22041.4300004447,1100000635,20,,SERVICE_IMS_CAR,11,CAR
M1-22041,M1-22041.4300004447,1100000635,30,,SERVICE_IMS_CAR,11,CAR
M1-22041,M1-22041.4300004447,1100000635,40,,SERVICE_IMS_CAR,11,CAR
M1-22041,M1-22041.4300004407,1100000621,10,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,20,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,30,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,40,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,50,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,60,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,70,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300004407,1100000621,80,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4500010750,1200000314,10,,FGB762A18301,114,SET
M1-22041,M1-22041.4500010277,1200000310,10,,FGB007A18161,54,SET
M1-22041,M1-22041.4500010277,1200000310,20,,FGB007A18361,6,SET
M1-22041,M1-22041.4500010277,1200000310,30,,FGB007A18461,5,SET
M1-22041,M1-22041.4500010277,1200000310,40,,FGB007A18461,1,SET
M1-22041,M1-22041.4500010277,1200000310,50,,FGB007A18107,54,SET
M1-22041,M1-22041.4500010277,1200000310,60,,FGB007A18307,6,SET
M1-22041,M1-22041.4500010277,1200000310,70,,FGB007A18406,5,SET
M1-22041,M1-22041.4500010277,1200000310,80,,FGB007A18506,1,SET
M1-22041,M1-22041.4500010277,1200000310,90,,FGB007A18106,54,SET
M1-22041,M1-22041.4500010277,1200000310,100,,FGB40AE1701P04,54,SET
M1-22041,M1-22041.4500010277,1200000310,110,,FGB007A18161,243,SET
M1-22041,M1-22041.4500010277,1200000310,120,,FGB007A18161,199,SET
M1-22041,M1-22041.4500010277,1200000310,130,,FGB007A18361,51,SET
M1-22041,M1-22041.4500010277,1200000310,140,,FGB007A18461,50,SET
M1-22041,M1-22041.4500010277,1200000310,150,,FGB007A18461,1,SET
M1-22041,M1-22041.4500010277,1200000310,160,,FGB007A18661,2,SET
M1-22041,M1-22041.4500010277,1200000310,170,,FGB007A18107,243,SET
M1-22041,M1-22041.4500010277,1200000310,180,,FGB007A18107,199,SET
M1-22041,M1-22041.4500010277,1200000310,190,,FGB007A18307,51,SET
M1-22041,M1-22041.4500010277,1200000310,200,,FGB007A18406,50,SET
M1-22041,M1-22041.4500010277,1200000310,210,,FGB007A18506,1,SET
M1-22041,M1-22041.4500010277,1200000310,220,,FGB561A18601,2,SET
M1-22041,M1-22041.4500010277,1200000310,230,,FGB007A18106,243,SET
M1-22041,M1-22041.4500010277,1200000310,240,,FGB007A18106,199,SET
M1-22041,M1-22041.4500010277,1200000310,250,,FGB40AE1701P04,243,SET
M1-22041,M1-22041.4500010277,1200000310,260,,FGB40AE1701P04,199,SET
M1-22041,M1-22041.4500011524,1200000318,10,,FGB50AG0702P01,1,SET
M1-22041,M1-22041.4500011540,1200000322,50,,FGB50AG1002P01,1,SET
M1-22041,M1-22041.4500011540,1200000322,60,,FGB50AG1002P01,1,SET
M1-22041,M1-22041.4500011540,1200000322,70,,FGB50AG1002P01,1,SET
M1-22041,M1-22041.4500011540,1200000322,80,,FGB50AG1002P01,1,SET
M1-22041,M1-22041.4500011540,1200000322,90,,FGB50AG1002P01,1,SET
M1-22041,M1-22041.4500011540,1200000322,100,,FGB50AG1002P01,1,SET
