Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Item,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch,WBS Element
2024-01-02,D32WB0500,SEMEN GRESIK,,2024-01-02,-3300.00,0,221,M1-23011.4300004437.5,KG,1,-6105000,4900300514,IMS_INVT01,,WS. INKA,,,61348,,M1-23011.4300004437.5
2024-01-02,C52TI75800,CLAMP GROUND,,2024-01-02,-25,0,221,M9-23002.9000000087,PC,1,-1450000,4900300592,IMS_INVT01,,FABRIKASI WS.INK,,,61366,,M9-23002.9000000087
2024-01-03,A11EL0050,STEEL PLATE,,2024-01-03,-10.00,0,221,M1-22041.4300003938,SHT,5,-16680510,4900300733,IMS_INVT01,,DALMAT FAB.INKA,,,61324,-,M1-22041.4300003938
2024-01-03,A11EL0060I5267,STEEL PLATE,,2024-01-03,-1.00,0,221,M1-22041.4300003938,SHT,4,-16482780,4900300733,IMS_INVT01,,DALMAT FAB.INKA,,,61324,SK90144,M1-22041.4300003938
2024-01-03,A11MH0020,STEEL PLATE,,2024-01-03,-40.00,0,221,M1-22041.4300003938,SHT,3,-44562276,4900300733,IMS_INVT01,,DALMAT FAB.INKA,,,61324,,M1-22041.4300003938
2024-01-03,A11MH0030,STEEL PLATE,,2024-01-03,-49.00,0,221,M1-22041.4300003938,SHT,2,-81379454,4900300733,IMS_INVT01,,DALMAT FAB.INKA,,,61324,,M1-22041.4300003938
2024-01-03,A11RF0030,PLATE ALLUMINIUM,,2024-01-03,-2.00,0,221,M1-22041.4300003938,SHT,1,-2332000,4900300716,IMS_INVT01,,FABRIKASI WS.INK,,,58721,,M1-22041.4300003938
2024-01-03,A11RF0030,PLATE ALLUMINIUM,,2024-01-03,-1.00,0,221,M1-22041.4300003938,SHT,1,-1166000,4900300717,IMS_INVT01,,FABRIKASI WS.INK,,,61384,,M1-22041.4300003938
2024-01-03,A11SE0008D82,STEEL PLATE,,2024-01-03,-20,0,221,M1-22041.4300003938,ROL,1,-137545845,4900300711,IMS_INVT01,,FABRIKASI WS.INK,,,61418,,M1-22041.4300003938
2024-01-03,A14AB0016#01,STEEL PLATE EXPANDED,,2024-01-03,-20.00,0,221,M1-22041.4300003938,SHT,1,-6180000,4900300654,IMS_INVT01,,WS. BAGI,,,61358,,M1-22041.4300003938
