Material,Plnt,SLoc,S,Special stock number,BUn,Unrestricted,Crcy,Value Unrestricted
A10XI0026,2301,IS01,Q,,SHT,"80,00",IDR,
A10XI0026,2301,IS01,Q,,SHT,"7,00",IDR,
A10XI0026,2301,IS01,Q,,SHT,"9,00",IDR,
A10XI0026,2301,IS01,Q,,SHT,"20,00",IDR,
A10XI02220,2301,IS01,Q,,SHT,"64,00",IDR,
A10XI02220,2301,IS01,Q,,SHT,"870,00",IDR,
A10XI02220,2301,IS01,Q,,SHT,"390,00",IDR,
A10XU0015,2301,IS01,Q,,SHT,"12,00",IDR,
A10XU0015,2301,IS01,Q,,SHT,"118,00",IDR,
A10XU0015,2301,IS01,Q,,SHT,"84,00",IDR,
A10XU0015#BC,2301,IS01,Q,,SHT,"2,00",IDR,
A10XU0015#BC,2301,IS01,Q,,SHT,"13,00",IDR,
A10XU0020,2301,IS01,Q,,SHT,"3,00",IDR,
A10XU0020#MW,2301,IS01,Q,,SHT,"10,00",IDR,
A10XU0025,2301,IS01,Q,,SHT,"1,00",IDR,
A10XU0030,2301,IS01,Q,,SHT,"21,00",IDR,
A10XU0030,2301,IS01,Q,,SHT,"1,00",IDR,
A10XU0030,2301,IS01,Q,,SHT,"46,00",IDR,
A10XU0030,2301,IS01,Q,,SHT,"3,00",IDR,
A10XU0040,2301,IS01,Q,,SHT,"1,00",IDR,
A10XU0040#WT,2301,IS01,Q,,SHT,"4,00",IDR,
A10XU0060,2301,IS01,Q,,SHT,"51,00",IDR,
A10XU0080,2301,IS01,Q,,SHT,"67,00",IDR,
A10XU0080,2301,IS01,Q,,SHT,"20,00",IDR,
A10XU0080,2301,IS01,Q,,SHT,"19,00",IDR,
A10XU0080,2301,IS01,Q,,SHT,"2,00",IDR,
A10XU0080,2301,IS01,Q,,SHT,"2,00",IDR,
A10XV0030D8#WT,2301,IS01,,,SHT,"10,00",IDR,
A10XV0030D8#WT,2301,IS01,Q,,SHT,"2,00",IDR,
A10XV0040D16#WT,2301,IS01,,,SHT,"30,00",IDR,
A10XV0040D8#9002,2301,IS01,,,SHT,"3,00",IDR,
A10XV0040D8#MW,2301,IS01,Q,,SHT,"2,00",IDR,
A10XV0040D8#RG,2301,IS01,Q,,SHT,"3,00",IDR,
A10XV1040D12#9003,2301,IS01,Q,,SHT,"121,00",IDR,
A10XV1040D16#9001,2301,IS01,Q,,SHT,"128,00",IDR,
A10XV1040D16#9001,2301,IS01,Q,,SHT,"144,00",IDR,
A10XV1040D16#9001,2301,IS01,Q,,SHT,"7,00",IDR,
A10XV1040D8#9003,2301,IS01,Q,,SHT,"69,00",IDR,
A10XV1040D8#9003,2301,IS01,Q,,SHT,"991,00",IDR,
A10XV1040D8#9003,2301,IS01,Q,,SHT,"396,00",IDR,
A10XV1040D8#9003,2301,IS01,Q,,SHT,"6,00",IDR,
A10XV3040D12#9003,2301,IS01,Q,,SHT,"210,00",IDR,
A10ZD0150,2301,IS01,Q,,SHT,"3,00",IDR,
A11AB0008,2301,IS01,Q,,SHT,"7,00",IDR,
A11AB0008,2301,IS02,Q,,SHT,"10,00",IDR,
A11AB0012,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0012,2301,IS01,Q,,SHT,"27,00",IDR,
A11AB0012,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0012,2301,IS02,Q,,SHT,"4,00",IDR,
A11AB0012,2301,IS02,Q,,SHT,"8,00",IDR,
A11AB0015,2301,IS02,Q,,SHT,"16,00",IDR,
A11AB0016,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0016,2301,IS01,Q,,SHT,"10,00",IDR,
A11AB0016,2301,IS01,Q,,SHT,"3,00",IDR,
A11AB0016,2301,IS01,Q,,SHT,"8,00",IDR,
A11AB0016,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0016,2301,IS01,Q,,SHT,"6,00",IDR,
A11AB0016,2301,IS02,Q,,SHT,"5,00",IDR,
A11AB0016,2301,IS02,Q,,SHT,"5,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"36,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"117,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"4,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"4,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"3,00",IDR,
A11AB0023,2301,IS01,Q,,SHT,"3,00",IDR,
A11AB0030,2301,IS01,Q,,SHT,"14,00",IDR,
A11AB0030,2301,IS01,Q,,SHT,"6,00",IDR,
A11AB0030,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0030,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0030#CK,2301,IS01,,,SHT,"1,00",IDR,
A11AB0032,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0032,2301,IS01,Q,,SHT,"363,00",IDR,
A11AB0032,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0032,2301,IS01,Q,,SHT,"3,00",IDR,
A11AB0032,2301,IS01,Q,,SHT,"5,00",IDR,
A11AB0032,2301,IS01,Q,,SHT,"6,00",IDR,
A11AB0040,2301,IS01,Q,,SHT,"40,00",IDR,
A11AB0040,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0040,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0040,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0040,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0040,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0045,2301,IS01,,,SHT,"4,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"244,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"28,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"36,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"5,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"14,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0045,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0045,2301,IS02,Q,,SHT,"66,00",IDR,
A11AB0045,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0045,2301,IS02,Q,,SHT,"21,00",IDR,
A11AB0045,2301,IS02,Q,,SHT,"6,00",IDR,
A11AB0045#CK,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0045#CK,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0045D10,2301,IS01,Q,,SHT,"62,00",IDR,
A11AB0045D10,2301,IS01,Q,,SHT,"23,00",IDR,
A11AB0045D10,2301,IS01,Q,,SHT,"48,00",IDR,
A11AB0045D10,2301,IS01,Q,,SHT,"39,00",IDR,
A11AB0045D10,2301,IS01,Q,,SHT,"15,00",IDR,
A11AB0045D10,2301,IS01,Q,,SHT,"5,00",IDR,
A11AB0050,2301,IS01,,,SHT,"8,00",IDR,
A11AB0050,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0060,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0060G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0060G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0060G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0090D11,2301,IS01,,,SHT,"4,00",IDR,
A11AB0090G9197,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0090G9197,2301,IS02,Q,,SHT,"4,00",IDR,
A11AB0090G9197,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0090G9355,2301,IS02,Q,,SHT,"7,00",IDR,
A11AB0090G9355,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0090G9355,2301,IS02,Q,,SHT,"4,00",IDR,
A11AB0090G9355,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0100,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0120,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0120,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0120G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0120G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0120G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0120G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0120G9240,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0120G9395,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0120G9395,2301,IS02,Q,,SHT,"2,00",IDR,
A11AB0120G9395,2301,IS02,Q,,SHT,"2,00",IDR,
A11AB0120G9395,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0150,2301,IS01,,,SHT,"2,00",IDR,
A11AB0150,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0160E0120,2301,IS02,Q,,SHT,"10,00",IDR,
A11AB0160E0120,2301,IS02,Q,,SHT,"30,00",IDR,
A11AB0160E0120,2301,IS02,Q,,SHT,"20,00",IDR,
A11AB0160E0120,2301,IS02,Q,,SHT,"3,00",IDR,
A11AB0160E12,2301,IS02,Q,,SHT,"3,00",IDR,
A11AB0160G9276,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0160G9276,2301,IS02,Q,,SHT,"6,00",IDR,
A11AB0160G9276,2301,IS02,Q,,SHT,"7,00",IDR,
A11AB0160G9276,2301,IS02,Q,,SHT,"2,00",IDR,
A11AB0160G9276,2301,IS02,Q,,SHT,"4,00",IDR,
A11AB0180,2301,IS01,Q,,SHT,"8,00",IDR,
A11AB0190,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0190,2301,IS01,Q,,SHT,"34,00",IDR,
A11AB0190,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0190F313,2301,IS01,,,SHT,"1,00",IDR,
A11AB0190H0321,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0190H0321,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0190H0321,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0200,2301,IS01,Q,,SHT,"16,00",IDR,
A11AB0200,2301,IS02,Q,,SHT,"9,00",IDR,
A11AB0200G9157,2301,IS02,Q,,SHT,"5,00",IDR,
A11AB0200G9197,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0220,2301,IS01,Q,,SHT,"13,00",IDR,
A11AB0220,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0220G9157,2301,IS02,Q,,SHT,"5,00",IDR,
A11AB0220G9157,2301,IS02,Q,,SHT,"2,00",IDR,
A11AB0220G9157,2301,IS02,Q,,SHT,"3,00",IDR,
A11AB0220G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0250,2301,IS01,Q,,SHT,"25,00",IDR,
A11AB0250,2301,IS02,Q,,SHT,"5,00",IDR,
A11AB0250G9157,2301,IS02,Q,,SHT,"4,00",IDR,
A11AB0250G9157,2301,IS02,Q,,SHT,"8,00",IDR,
A11AB0250G9395,2301,IS02,Q,,SHT,"4,00",IDR,
A11AB0280,2301,IS01,Q,,SHT,"1,00",IDR,
A11AB0300,2301,IS01,Q,,SHT,"4,00",IDR,
A11AB0320G9276,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0320G9276,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0350,2301,IS01,Q,,SHT,"2,00",IDR,
A11AB0360G9197,2301,IS02,Q,,SHT,"1,00",IDR,
A11AB0380,2301,IS01,Q,,SHT,"6,00",IDR,
A11AB0400,2301,IS01,Q,,SHT,"19,00",IDR,
A11AB0600,2301,IS02,Q,,SHT,"1,00",IDR,
A11AE0008,2301,IS01,Q,,SHT,"20,00",IDR,
A11AE0008,2301,IS01,Q,,SHT,"2,00",IDR,
A11AE0016,2301,IS01,Q,,SHT,"420,00",IDR,
A11AE0016,2301,IS01,Q,,SHT,"6,00",IDR,
A11AE0016,2301,IS01,Q,,SHT,"2,00",IDR,
A11AE0016,2301,IS01,Q,,SHT,"7,00",IDR,
A11AE0020,2301,IS01,,,SHT,"7,00",IDR,
A11AE0023,2301,IS01,Q,,SHT,"149,00",IDR,
A11AE0023,2301,IS01,Q,,SHT,"2,00",IDR,
