PROJECT DEF,WBS ELEMENT,SO DOCUMENT,SO DATE,REQ DELIVERY DATE,DURATION,CUSTOMER PO NUMBER,CUSTOMER CODE,CUSTOMER NAME,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM_1,UNIT PRICE DO,TOTAL PRICE DO,TO BE DELIVER QTY,INVOICED QTY,UOM_2,UNIT PRICE BILLING,TOTAL PRICE BILLING,TO BE INVOICE,STATUS,UNIT PRICE INVOICE,TO BE DELIVER INVOICE
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0080,ABS 080 Jeruk Abu,150,15,0,3300000,49500000,15,0,3300000,49500000,0,15,0,0,49500000,0,Complete,3300000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0081,ABS 081 Jeruk Abu,160,15,0,7081500,106222500,15,0,7081500,106222500,0,15,0,0,106222500,0,Complete,7081500,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0082,ABS 082 Jeruk Abu,170,15,0,10416000,156240000,15,0,10416000,156240000,0,15,0,0,156240000,0,Complete,10416000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0059B,ABS 059B Jeruk Abu,180,45,0,5044500,227002500,45,0,5044500,227002500,0,45,0,0,227002500,0,Complete,5044500,0
M3-22003,M3-22003.9000000192,1200000172,2023-01-12,2023-01-31,43,POIMST/1222/00002,140002,"IMS TRADING, PT",FGB52TE6126,Kaca Head Lamp (L),10,1,0,602130,602130,0,0,602130,0,1,0,0,0,0,0,On Progress,602130,1
M2-22001,M2-22001.9000000093,1200000174,2023-01-13,2023-01-27,40,303/D3/IMSS/2022,140001,"IMS SERVICE, PT",FGB50AA407065,Kaca Jendela Penumpang,10,5,0,15750000,78750000,0,0,15750000,0,5,0,0,0,0,0,On Progress,15750000,5
M2-22001,M2-22001.9000000094,1200000175,2023-01-13,2023-02-13,57,304/D3/IMSS/2022,140001,"IMS SERVICE, PT",FGB50RL13023,Kaca Emergency,10,1,0,4462600,4462600,0,0,4462600,0,1,0,0,0,0,0,On Progress,4462600,1
0,0,1200000176,2023-01-13,2023-02-28,72,4500009941,140000,"INKA (PERSERO), PT",FGB40AD0031,Battery Cooling System,10,9,0,229392000,2064528000,0,0,229392000,0,9,0,0,0,0,0,On Progress,229392000,9
M9-23003,M9-23003.9000000097,1200000177,2023-01-16,2023-03-14,89,PO-23000245#1,20046,"BAMBANG DJAJA,PT",CBBD-51E6A5L1-ABAV,BODY CABINET DOU 1500/11/433/50/Dyn,10,4,0,26522400,106089600,0,0,26522400,0,4,0,0,0,0,0,On Progress,26522400,4
M9-23003,M9-23003.9000000097,1200000177,2023-01-16,2023-03-14,89,PO-23000245#1,20046,"BAMBANG DJAJA,PT",CVBD-51E6A5L1-ABAV,BODY COVER DOU 1500/11/433/50/Dyn11,20,4,0,15216120,60864480,0,0,15216120,0,4,0,0,0,0,0,On Progress,15216120,4
M9-23003,M9-23003.9000000097,1200000177,2023-01-16,2023-03-14,89,PO-23000245#1,20046,"BAMBANG DJAJA,PT",TNBD-51E6A5L1-ABAV,BODY TANK DOU 1500/11/433/50/Dyn11,30,4,0,45301600,181206400,0,0,45301600,0,4,0,0,0,0,0,On Progress,45301600,4
M9-23003,M9-23003.9000000097,1200000177,2023-01-16,2023-03-14,89,PO-23000245#1,20046,"BAMBANG DJAJA,PT",CVBD-1NE7A5-ABAA,BODY COVER DOU 800/6.3/400/50/Dyn11 (Co,40,1,0,2109260,2109260,0,0,2109260,0,1,0,0,0,0,0,On Progress,2109260,1
M9-23003,M9-23003.9000000097,1200000177,2023-01-16,2023-03-14,89,PO-23000245#1,20046,"BAMBANG DJAJA,PT",TNBD-1NE7A5,"BODY TANK DOU 800/6,3/400/50/Dyn11",50,1,0,5529380,5529380,0,0,5529380,0,1,0,0,0,0,0,On Progress,5529380,1
M9-23004,M9-23004.9000000099,1200000180,2023-01-16,2023-01-27,43,PON/GMB/0123/00010,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0083,ABS 083 Jeruk Abu,10,105,0,15750000,1653750000,105,0,15750000,1653750000,0,105,0,0,1653750000,0,Complete,15750000,0
M9-22007,M9-22007.9000000098,1200000181,2023-01-17,2022-11-25,346,PO-22004468#1,20046,"BAMBANG DJAJA,PT",CVBD-EW221A5-A,BODY COVER 6300/11/Dyn11(Panel)Consv+Buc,10,2,0,41526050,83052100,0,0,41526050,0,2,0,0,0,0,0,On Progress,41526050,2
M9-22007,M9-22007.9000000098,1200000181,2023-01-17,2022-11-25,346,PO-22004468#1,20046,"BAMBANG DJAJA,PT",TNBD-EW221A5-A,BODY TANK 6300/11/Dyn11(Panel)Consv+Buch,20,2,0,139523250,279046500,0,0,139523250,0,2,0,0,0,0,0,On Progress,139523250,2
M9-22007,M9-22007.9000000098,1200000181,2023-01-17,2022-11-25,346,PO-22004468#1,20046,"BAMBANG DJAJA,PT",CVBD-2UD3A5-A3,BODY COVER 4000/20/6.3/50/Dyn11 (Panel),30,1,0,8792375,8792375,0,0,8792375,0,1,0,0,0,0,0,On Progress,8792375,1
M9-22007,M9-22007.9000000098,1200000181,2023-01-17,2022-11-25,346,PO-22004468#1,20046,"BAMBANG DJAJA,PT",TNBD-2UD3A5,BODY TANK 4000/20/6.3/50/Dyn11 (Panel) P,40,1,0,68041125,68041125,0,0,68041125,0,1,0,0,0,0,0,On Progress,68041125,1
M9-22007,M9-22007.9000000100,1200000182,2023-01-17,2023-01-11,28,PO-22005121#1,20046,"BAMBANG DJAJA,PT",CVBD-839233A3-A,BODY COVER 3250/13.8/800/60/Dyn1,10,1,0,5253560,5253560,0,0,5253560,0,1,0,0,0,0,0,On Progress,5253560,1
M9-22007,M9-22007.9000000100,1200000182,2023-01-17,2023-01-11,28,PO-22005121#1,20046,"BAMBANG DJAJA,PT",TNBD-839233A3-A,BODY TANK 3250/13.8/800/60/Dyn1,20,1,0,18205480,18205480,0,0,18205480,0,1,0,0,0,0,0,On Progress,18205480,1
M9-22007,M9-22007.9000000100,1200000182,2023-01-17,2023-01-11,28,PO-22005121#1,20046,"BAMBANG DJAJA,PT",CVBD-836232A3-A,BODY COVER 2000/4.16/800/60/Dyn1,30,1,0,3042560,3042560,0,0,3042560,0,1,0,0,0,0,0,On Progress,3042560,1
M9-22007,M9-22007.9000000100,1200000182,2023-01-17,2023-01-11,28,PO-22005121#1,20046,"BAMBANG DJAJA,PT",TNBD-836232A3-A,BODY TANK 2000/4.16/800/60/Dyn1,40,1,0,13307479,13307479,0,0,13307479,0,1,0,0,0,0,0,On Progress,13307479,1
M9-22007,M9-22007.9000000100,1200000182,2023-01-17,2023-01-11,28,PO-22005121#1,20046,"BAMBANG DJAJA,PT",CVBD-C3NA7A6-O,BODY COVER 800/20/400/50/YNyn0 + ISD,50,1,0,1505680,1505680,0,0,1505680,0,1,0,0,0,0,0,On Progress,1505680,1
M9-22007,M9-22007.9000000100,1200000182,2023-01-17,2023-01-11,28,PO-22005121#1,20046,"BAMBANG DJAJA,PT",TNBD-C3NA7A4,"BODY TANKI 800/20/400/50/Dyn5 + ISD, 5 T",60,1,0,11759880,11759880,0,0,11759880,0,1,0,0,0,0,0,On Progress,11759880,1
M9-22007,M9-22007.9000000101,1200000183,2023-01-17,2023-01-11,28,PO-22005122#1,20046,"BAMBANG DJAJA,PT",TNBD-C3LA7A4-B,"BODY TANK 630/20/400/50/Dyn5 +, ISD",10,2,0,11715160,23430320,0,0,11715160,0,2,0,0,0,0,0,On Progress,11715160,2
M9-22007,M9-22007.9000000101,1200000183,2023-01-17,2023-01-11,28,PO-22005122#1,20046,"BAMBANG DJAJA,PT",CVBD-C3LA7A4-OB,BODY COVER 630/20/400/50/Dyn5 + ISD,20,2,0,2495620,4991240,0,0,2495620,0,2,0,0,0,0,0,On Progress,2495620,2
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",CBBD-M35A8A3-A,BODY CABINET 1600/6.6/400/50/Dyn11 (Corg,10,1,0,7104000,7104000,0,0,7104000,0,1,0,0,0,0,0,On Progress,7104000,1
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",CVBD-C3YA7A41,BODY COVER 3150/20/400/50/Dyn5+ISO,40,3,0,18100680,54302040,0,0,18100680,0,3,0,0,0,0,0,On Progress,18100680,3
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",TNBD-C3YA7A41,BODY TANKI 3150/20/400/50/DynS,50,3,0,55490040,166470120,0,0,55490040,0,3,0,0,0,0,0,On Progress,55490040,3
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",CVBD-1QF1A5-A1,BODY COVER 1600/6.6/400/50/Dyn11,60,1,0,3558130,3558130,0,0,3558130,0,1,0,0,0,0,0,On Progress,3558130,1
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",TNBD-1QF1AS-A1,BODY TANK 1600/6.6/400/50/Dyn 11 (Corgt),70,1,0,9731860,9731860,0,0,9731860,0,1,0,0,0,0,0,On Progress,9731860,1
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",CVB0-1SF1A5-A11,BODY COVER 2500/6.6/400/50/Dyn11,80,4,0,20526240,82104960,0,0,20526240,0,4,0,0,0,0,0,On Progress,20526240,4
M9-22007,M9-22007.9000000102,1200000184,2023-01-17,2023-01-11,28,PO-22005343#1,20046,"BAMBANG DJAJA,PT",TNBD-1SF1A5-AH,BODY TANK 2500/6.6/400/50/Dyn11,90,4,0,61053919,244215679,0,0,61053919,0,4,0,0,0,0,0,On Progress,61053919,4
M9-22007,M9-22007.9000000103,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",CVBD-C3OA7A41-,BODY COVER 1000/20/400/50/Dyn5 + ISD +,10,2,0,2693920,5387840,0,0,2693920,0,2,0,0,0,0,0,On Progress,2693920,2
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",TNBD-C3OA7A41,"BODY TANKI 1000/20/400/50/Dyn5 + ISD,",20,2,0,14169760,28339520,0,0,14169760,0,2,0,0,0,0,0,On Progress,14169760,2
M9-22007,M9-22007.9000000103,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",TNBD-C3OA7A4,"BODY TANKI 1000/20/400/50/Dyn5 + ISD,",30,2,0,15732760,31465520,0,0,15732760,0,2,0,0,0,0,0,On Progress,15732760,2
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",TNBD-C3PA7A41,"BODY TANKI 1250/20/400/50/Dyn5 + ISD,",40,4,0,37751520,151006080,0,0,37751520,0,4,0,0,0,0,0,On Progress,37751520,4
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",CVBD-C3PA7A41,"BODY COVER 1250/20/400/50/Dyn5 + ISD,",50,4,0,9911840,39647360,0,0,9911840,0,4,0,0,0,0,0,On Progress,9911840,4
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",TNBD-C3PA7A41,"BODY TANKI 1250/20/400/50/Dyn5 + ISD,",60,3,0,28313640,84940920,0,0,28313640,0,3,0,0,0,0,0,On Progress,28313640,3
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",CVBD-C3PA7A41,BODY COVER 1250/20/400/50/Dyn5 + ISD +,70,3,0,7433880,22301640,0,0,7433880,0,3,0,0,0,0,0,On Progress,7433880,3
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",TNBD-C3PA7A4,"BODY TANKI 1250/20/400/50/Dyn5 + ISD,",80,2,0,20347760,40695520,0,0,20347760,0,2,0,0,0,0,0,On Progress,20347760,2
M9-22007,M9-22007.9000000103,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",CVBD-C3PA7A4-O,BODY COVER 1250/20/400/50/Dyn5 + ISD + P,90,2,0,4923960,9847920,0,0,4923960,0,2,0,0,0,0,0,On Progress,4923960,2
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",CVBD-C3QA7A41,BODY COVER 1600/20/400/50/Dyn5 + ISD + P,100,4,0,10627920,42511680,0,0,10627920,0,4,0,0,0,0,0,On Progress,10627920,4
0,0,1200000185,2023-01-17,2023-01-11,28,PO-22005433#2,20046,"BAMBANG DJAJA,PT",TNBD-C3QA7A41,"BODY TANKI 1600/20/400/50/Dyn5 + ISD,",110,4,0,43247440,172989760,0,0,43247440,0,4,0,0,0,0,0,On Progress,43247440,4
