Material,Plnt,SLoc,S,Valuation,Special stock number,SL,Batch,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
A09TA0050,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"7,00",IDR,8.470.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09TA0050,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"38,00",IDR,45.980.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09TA0050,2301,IS01,Q,M,M1-22041.9000000333,,,SHT,"3,00",IDR,3.630.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09TE10004,2301,IS01,Q,M,M1-23003.4500010780,,,M,"176,00",IDR,13.464.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09TE10004,2301,IS01,Q,M,M1-23003.9000000337,,,M,"4,00",IDR,306.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09XE01050BL,2301,IS01,Q,M,M1-22041.4300003938.1,,,ROL,77,IDR,184.800.000,0,0,0,0,0,0,0,0,0,0
A09XE01050BL,2301,IS01,Q,M,M1-22041.4300003938.2,,,ROL,424,IDR,1.017.600.000,0,0,0,0,0,0,0,0,0,0
A09XE01050BL,2301,IS01,Q,M,M1-22041.4300003938.3,,,ROL,136,IDR,326.400.000,0,0,0,0,0,0,0,0,0,0
A09XE01050BL,2301,IS01,Q,M,M1-22041.4300003938.4,,,ROL,1,IDR,2.400.000,0,0,0,0,0,0,0,0,0,0
A09XE01050BL,2301,IS01,Q,M,M1-23003.9000000361,,,ROL,12,IDR,28.800.000,0,0,0,0,0,0,0,0,0,0
A10FO0100,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"3,00",IDR,787.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
