PROJECT DEF,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status,Persen
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB43KS1015,NUT_HEX_WELD_DIN929,120,280,PC,634760.0,177732800.0,280,,634760.0,177732800.0,0,0,,634760.0,0.0,280,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB43KS1510,NUT_HEX_WELD_SPIGOT,190,280,PC,552160.0,154604800.0,280,,552160.0,154604800.0,0,0,,552160.0,0.0,280,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB46NG0040,BLIND_RIVET_TRUSS HEAD,10,240,PC,110640.0,26553600.0,240,,110640.0,26553600.0,0,0,,110640.0,0.0,240,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB44KD0020,WASHER_PLAIN,340,240,PC,913200.0,219168000.0,240,,913200.0,219168000.0,0,0,,913200.0,0.0,240,06.06.2024,12.07.2024,36,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGC95LF0809,Palu darurat,710,228,PC,17239080.0,3930510240.0,219,,17239080.0,3775358520.0,9,219,,17239080.0,3775358520.0,0,04.09.2023,30.04.2026,969,On Progress,96.1
M5-23003,M5-23003.7100001299,1200000255,2023-09-07,7100001299,140011,FGB22D08GG00252HAW,SEALANT SIkaflex 252 FC 600 ml (White),20,210,PC,30450000.0,6394500000.0,210,,30450000.0,6394500000.0,0,0,,30450000.0,0.0,210,01.09.2023,23.11.2023,83,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGC79VA0003,STOP BLOCK,630,583,PC,330292820.0,192560714060.0,202,,330292820.0,66719149640.0,381,202,,330292820.0,66719149640.0,0,04.09.2023,30.04.2026,969,On Progress,34.6
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000005,STIFFENER,80,200,PC,5160000.0,1032000000.0,200,,5160000.0,1032000000.0,0,0,,5160000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000012,END PLATE,220,200,PC,24920000.0,4984000000.0,200,,24920000.0,4984000000.0,0,0,,24920000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000018,HANGER BRACKET SEAT,340,200,PC,26940000.0,5388000000.0,200,,26940000.0,5388000000.0,0,0,,26940000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000021,STIFFENER,410,200,PC,127620000.0,25524000000.0,200,,127620000.0,25524000000.0,0,0,,127620000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
